restaurant_name,restaurant_ID,restaurant_address,restaurant_tag,rating,price,review_number,unique_reviewer,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,restaurant_neighborhood,GIS_ID,CT_ID_10,lat,lon
140 Supper Club,6,"138 St James Ave,Boston, MA 02116,","Diners,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,401087000,25025010600,42.3490411,-71.078908
Ana's Place,104,"79 Hancock,Boston, MA 02125,","African,",5,$ ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorchester,1502689000,25025091500,42.3129658,-71.0677309
Atrium Cafe,180,"260 Longwood Ave,Boston, MA 02115,","Cafes,",5,NA,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Boston,401882000,25025081001,42.3369544,-71.1067017
BONAPITA,228,"75 Spring St,Boston, MA 02132,","Mediterranean,Bakeries,",5,NA,85,85,13,4,3,7,5,5,5,8,2,1,2,0,3,2,3,2,West Roxbury,2008907000,25025130402,42.278754,-71.1659003
Beau's Seafood,303,"9 Fish Pier St E,Boston, MA 02210,","Seafood,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,602673002,25025060600,42.3510142,-71.0400901
Bep Bui,316,"95 Freeport St,Dorchester, MA 02122,","Vietnamese,",5,NA,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,Dorchester,1500294000,25025091600,42.3051699,-71.0601998
Blend,361,"1310 Dorchester Ave,Dorchester, MA 02122,","Bars,Burgers,Music Venues,",5,NA,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Dorchester,1500312000,25025091600,42.3058579,-71.0611277
Blue Hill Cafe,370,"491 Blue Hill Ave,Boston, MA 02121,","Dominican,Spanish,",5,NA,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Dorchester,1202454000,25025082100,42.3083769,-71.0862439
Boston Fried Chicken,436,"1198 Blue Hill Ave,Boston, MA 02126,","Fast Food,",5,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Mattapan,1403959000,25025101102,42.2835549,-71.0939848
Boston Pocket & Deli,449,"682 Tremont St,Boston, MA 02118,","Delis,Sandwiches,",5,NA,13,13,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,Boston,900471000,25025070500,42.3410173,-71.0792559
Boston Speed Dog,453,"42 Newmarket Sq,Roxbury, MA 02118,","Food Trucks,Hot Dogs,",5,NA,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Boston,801022001,25025080100,42.3286575,-71.0680841
Cafe Colombia,572,"17 Meridian St,Boston, MA 02128,","Cafes,",5,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,105685000,25025050600,42.3735958,-71.041856
Cafe Suisse,594,"1 Ave De Lafayette,Boston, MA 02111,","Fondue,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,304500000,25025070101,42.3534311,-71.0635449
Café 716,626,"716 Columbus Ave,Boston, MA 02120,","Coffee & Tea,Sandwiches,",5,$ ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roxbury Crossing,901417000,25025080601,42.3376814,-71.0878647
Chinese Spaghetti Factory,770,"83 Newmarket Sq,Roxbury, MA 02118,","Chinese,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,801022030,25025080100,42.3291127,-71.069913
City Hall Deli,810,"1 CIty Hall Plz,Boston, MA 02108,","Delis,",5,NA,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Boston,302615000,25025030300,42.3604104,-71.0603373
Constitution Lobster Clambake,850,"8 Seafood Way,Boston, MA 02210,","Seafood,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,602674003,25025981202,42.3489493,-71.0336889
Court Café,876,"3 Pemberton Square,Fl 2,Suffolk County Court House,Boston, MA 02108,","American (Traditional),Delis,Food Stands,",5,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,302722000,25025030300,42.3598389,-71.0637265
Doña Habana,1039,"11 Melnea Cass Blvd,Roxbury, MA 02119,","Cuban,Lounges,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roxbury,800900100,25025080100,42.3320727,-71.0761337
Eagle Hill Cafe,1060,"65 Meridian St,Boston, MA 02128,","Coffee & Tea,Breakfast & Brunch,Sandwiches,",5,NA,8,8,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Boston,105738000,25025050600,42.3718816,-71.0413711
Eats and Treats Creperie,1078,"166 Brighton Ave,Brighton, MA 02135,","Creperies,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2100890000,25025000704,42.3529546,-71.1353993
El Palmar Restaurant,1100,"290 Bennington St,Boston, MA 02128,","Latin American,",5,$ ,9,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Boston,100089000,25025050901,42.3790009,-71.0311564
El Rinconcito,1110,"226 Sumner St,Boston, MA 02128,","Colombian,",5,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Boston,105364000,25025050400,42.3687303,-71.0416033
Energize,1126,"618 Washington St,Brighton, MA 02135,","Juice Bars & Smoothies,Vegan,Organic Stores,",5,$ ,109,109,2,1,2,2,3,1,3,1,2,0,1,0,0,0,1,1,Brighton,2204493000,25025000302,42.3504628,-71.1705225
Florian Hall,1221,"55 Hallet St,Boston, MA 02124,","American (Traditional),Venues & Event Spaces,",5,NA,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Dorchester Center,1604181000,25025100700,42.2823936,-71.0502068
Fourdee Planning,1252,"75 Frederick St,Boston, MA 02127,","Restaurants,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,700367000,25025060800,42.3330528,-71.0560939
