,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
4,Benu,"22 Hawthorne St., San Francisco, 94105, United States",94105,San Francisco,350.0,350.0,USD,"Asian, Contemporary",-122.3990601,37.7853763,-4130,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,https://www.benusf.com/,3 MICHELIN Stars,350.0,CA,California,West,Asian
113,Phenakite,"1370 N. St. Andrews Pl., Los Angeles, 90028, United States",90028,Los Angeles,158.0,158.0,USD,"Asian, Contemporary",-118.3108658,34.0967156,-7630,https://guide.michelin.com/en/california/us-los-angeles/restaurant/phenakite,https://www.porridgeandpuffs.com/phenakite,1 MICHELIN Star,158.0,CA,California,West,Asian
376,Sama Sama Kitchen,"1208 State St., Santa Barbara, 93101, United States",93101,Santa Barbara,50.0,50.0,USD,Asian,-119.7045301,34.4236674,-3726,https://guide.michelin.com/en/california/santa-barbara/restaurant/sama-sama-kitchen,http://www.samasamakitchen.com/,Bib Gourmand,50.0,CA,California,West,Asian
411,Pine & Crane,"1521 Griffith Park Blvd., Los Angeles, 90026, United States",90026,Los Angeles,30.0,30.0,USD,"Asian, Taiwanese",-118.2772213,34.0904961,-473,https://guide.michelin.com/en/california/us-los-angeles/restaurant/pine-crane,https://www.pineandcrane.com/,Bib Gourmand,30.0,CA,California,West,Asian
549,Momofuku Noodle Bar,"171 First Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Asian,-73.98442,40.72922,-7338,https://guide.michelin.com/en/new-york-state/new-york/restaurant/momofuku-noodle-bar,https://www.momofuku.com/,Bib Gourmand,50.0,NY,New York,Northeast,Asian
550,Momofuku Noodle Bar,"171 First Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Asian,-73.98442,40.72922,-7338,https://guide.michelin.com/en/new-york-state/new-york/restaurant/momofuku-noodle-bar,https://www.momofuku.com/,Bib Gourmand,50.0,NY,New York,Northeast,Asian
568,Maison Yaki,"626 Vanderbilt Ave., New York, 11238, United States",11238,New York,50.0,55.0,USD,"Asian, French",-73.9690945,40.6774477,-1443,https://guide.michelin.com/en/new-york-state/new-york/restaurant/maison-yaki,http://www.maisonyaki.com/,Bib Gourmand,52.5,NY,New York,Northeast,Asian
569,Maison Yaki,"626 Vanderbilt Ave., New York, 11238, United States",11238,New York,50.0,55.0,USD,"Asian, French",-73.9690945,40.6774477,-1443,https://guide.michelin.com/en/new-york-state/new-york/restaurant/maison-yaki,http://www.maisonyaki.com/,Bib Gourmand,52.5,NY,New York,Northeast,Asian
756,Maketto,"1351 H St. NE, Washington, 20002, United States",20002,Washington,30.0,90.0,USD,Asian,-76.986694,38.900124,-9608,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/maketto,https://www.maketto1351.com/,Bib Gourmand,60.0,DC,District of Columbia,South,Asian
771,Kaliwa,"751 Wharf St. SW, Washington, 20024, United States",20024,Washington,50.0,50.0,USD,"Asian, South East Asian",-77.02449,38.878735,-4053,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/kaliwa,https://www.kaliwadc.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Asian
774,Astoria DC,"1521 17th St. NW, Washington, 20036, United States",20036,Washington,60.0,80.0,USD,"Asian, Sichuan",-77.0386833,38.9106102,383,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/astoria-dc,https://www.astoriadc.com/,Bib Gourmand,70.0,DC,District of Columbia,South,Asian
