,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
31,Saison,"178 Townsend St., San Francisco, 94107, United States",94107,San Francisco,248.0,306.0,USD,"Californian, Contemporary",-122.41543,37.76327,-7403,https://guide.michelin.com/en/california/san-francisco/restaurant/saison,https://www.saisonsf.com/,2 MICHELIN Stars,277.0,CA,California,West,Californian
85,Kali,"5722 Melrose Ave., Hollywood, 90038, United States",90038,Hollywood,115.0,190.0,USD,"Californian, Market Cuisine",-118.3245399,34.0834565,-3708,https://guide.michelin.com/en/california/hollywood/restaurant/kali,https://www.kalirestaurant.com/,1 MICHELIN Star,152.5,CA,California,West,Californian
106,Rustic Canyon,"1119 Wilshire Blvd., Santa Monica, 90401, United States",90401,Santa Monica,97.0,97.0,USD,Californian,-118.49118,34.024952,-6133,https://guide.michelin.com/en/california/santa-monica/restaurant/rustic-canyon,http://www.rusticcanyonrestaurant.com,1 MICHELIN Star,97.0,CA,California,West,Californian
117,Le Comptoir,"3606 W. 6th St., Los Angeles, 90020, United States",90020,Los Angeles,175.0,175.0,USD,"Californian, Vegetarian",-118.300451,34.0634658,173,https://guide.michelin.com/en/california/us-los-angeles/restaurant/le-comptoir,https://www.lecomptoirla.com/,1 MICHELIN Star,175.0,CA,California,West,Californian
118,State Bird Provisions,"1529 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,90.0,90.0,USD,Californian,-122.43283,37.783737,-652,https://guide.michelin.com/en/california/san-francisco/restaurant/state-bird-provisions,https://www.statebirdsf.com/,1 MICHELIN Star,90.0,CA,California,West,Californian
119,The Progress,"1525 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,78.0,78.0,USD,Californian,-122.43282,37.78371,-552,https://guide.michelin.com/en/california/san-francisco/restaurant/the-progress,https://www.theprogress-sf.com/,1 MICHELIN Star,78.0,CA,California,West,Californian
124,Al's Place,"1499 Valencia St., San Francisco, 94110, United States",94110,San Francisco,83.0,88.0,USD,"Californian, Contemporary",-122.42013,37.748924,-5137,https://guide.michelin.com/en/california/san-francisco/restaurant/al-s-place,https://www.alsplacesf.com/,1 MICHELIN Star,85.5,CA,California,West,Californian
137,Spruce,"3640 Sacramento St., San Francisco, 94118, United States",94118,San Francisco,75.0,75.0,USD,"Californian, Contemporary",-122.45264,37.78772,-4616,https://guide.michelin.com/en/california/san-francisco/restaurant/spruce,https://www.sprucesf.com/,1 MICHELIN Star,75.0,CA,California,West,Californian
138,Marlena,"300 Precita Ave., San Francisco, 94110, United States",94110,San Francisco,65.0,110.0,USD,"Californian, Contemporary",-122.4134486,37.7467485,-4982,https://guide.michelin.com/en/california/san-francisco/restaurant/marlena,https://www.marlenarestaurant.com,1 MICHELIN Star,87.5,CA,California,West,Californian
294,Range Life,"2160 Railroad Ave., Livermore, 94550, United States",94550,Livermore,50.0,50.0,USD,Californian,-121.76999,37.683384,-4028,https://guide.michelin.com/en/california/livermore/restaurant/range-life,https://www.rangelifelivermore.com/,Bib Gourmand,50.0,CA,California,West,Californian
320,Valley,"487 1st St. W, Sonoma, 95476, United States",95476,Sonoma,60.0,60.0,USD,Californian,-122.4590217,38.2922754,-7630,https://guide.michelin.com/en/california/sonoma/restaurant/valley,http://www.valleybarandbottle.com,Bib Gourmand,60.0,CA,California,West,Californian
321,Valley,"487 1st St. W, Sonoma, 95476, United States",95476,Sonoma,60.0,60.0,USD,Californian,-122.4590217,38.2922754,-7630,https://guide.michelin.com/en/california/sonoma/restaurant/valley,http://www.valleybarandbottle.com,Bib Gourmand,60.0,CA,California,West,Californian
322,Valley,"487 1st St. W, Sonoma, 95476, United States",95476,Sonoma,60.0,60.0,USD,Californian,-122.4590217,38.2922754,-7630,https://guide.michelin.com/en/california/sonoma/restaurant/valley,http://www.valleybarandbottle.com,Bib Gourmand,60.0,CA,California,West,Californian
332,Fable & Spirit,"3441 Via Lido, Newport Beach, 92663, United States",92663,Newport Beach,39.0,44.0,USD,"Californian, American",-117.9286747,33.6180361,-8373,https://guide.michelin.com/en/california/newport-beach/restaurant/fable-spirit,https://www.fableandspirit.com/,Bib Gourmand,41.5,CA,California,West,Californian
337,Spinning Bones,"1205 Park St., Alameda, 94501, United States",94501,Alameda,45.0,45.0,USD,Californian,-122.2456112,37.7612014,-8043,https://guide.michelin.com/en/california/alameda/restaurant/spinning-bones,http://www.spinningbones.com,Bib Gourmand,45.0,CA,California,West,Californian
352,ASA South,"57 Los Gatos-Saratoga Rd., Los Gatos, 95032, United States",95032,Los Gatos,44.0,44.0,USD,"Californian, Mediterranean Cuisine",-121.9721498,37.2260847,-6136,https://guide.michelin.com/en/california/los-gatos/restaurant/asa-south,https://www.asalosaltos.com/,Bib Gourmand,44.0,CA,California,West,Californian
432,Outerlands,"4001 Judah St., San Francisco, 94122, United States",94122,San Francisco,33.0,63.0,USD,Californian,-122.5050059,37.7604361,-5386,https://guide.michelin.com/en/california/san-francisco/restaurant/outerlands,https://www.outerlandssf.com/,Bib Gourmand,48.0,CA,California,West,Californian
438,Sociale,"3665 Sacramento St., San Francisco, 94118, United States",94118,San Francisco,70.0,70.0,USD,"Californian, Italian Contemporary",-122.4530438,37.7872221,-2706,https://guide.michelin.com/en/california/san-francisco/restaurant/sociale,https://www.sfsociale.com/,Bib Gourmand,70.0,CA,California,West,Californian
