,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
90,Bistro Na’s,"9055 Las Tunas Dr., Ste. 105, Temple City, 91780, United States",91780,Temple City,50.0,300.0,USD,"Chinese, Beijing Cuisine",-118.0712093,34.1048803,-659,https://guide.michelin.com/en/california/temple-city/restaurant/bistro-na%E2%80%99s,https://www.bistronas.com/,1 MICHELIN Star,175.0,CA,California,West,Chinese
123,Mister Jiu’s,"28 Waverly Pl., San Francisco, 94108, United States",94108,San Francisco,75.0,75.0,USD,"Chinese, Contemporary",-122.406654,37.79371,-9130,https://guide.michelin.com/en/california/san-francisco/restaurant/mister-jiu%E2%80%99s,https://www.misterjius.com/,1 MICHELIN Star,75.0,CA,California,West,Chinese
280,Chengdu Impression,"21 Huntington Dr., Arcadia, 91006, United States",91006,Arcadia,50.0,50.0,USD,"Chinese, Sichuan",-118.030468,34.1402483,-8835,https://guide.michelin.com/en/california/arcadia/restaurant/chengdu-impression,,Bib Gourmand,50.0,CA,California,West,Chinese
281,Chengdu Impression,"21 Huntington Dr., Arcadia, 91006, United States",91006,Arcadia,50.0,50.0,USD,"Chinese, Sichuan",-118.030468,34.1402483,-8835,https://guide.michelin.com/en/california/arcadia/restaurant/chengdu-impression,,Bib Gourmand,50.0,CA,California,West,Chinese
282,Chengdu Impression,"21 Huntington Dr., Arcadia, 91006, United States",91006,Arcadia,50.0,50.0,USD,"Chinese, Sichuan",-118.030468,34.1402483,-8835,https://guide.michelin.com/en/california/arcadia/restaurant/chengdu-impression,,Bib Gourmand,50.0,CA,California,West,Chinese
283,LaoXi Noodle House,"600 Live Oak Ave., Arcadia, 91006, United States",91006,Arcadia,25.0,25.0,USD,"Chinese, Regional Cuisine",-118.01802,34.10907,-1012,https://guide.michelin.com/en/california/arcadia/restaurant/laoxi-noodle-house,,Bib Gourmand,25.0,CA,California,West,Chinese
284,LaoXi Noodle House,"600 Live Oak Ave., Arcadia, 91006, United States",91006,Arcadia,25.0,25.0,USD,"Chinese, Regional Cuisine",-118.01802,34.10907,-1012,https://guide.michelin.com/en/california/arcadia/restaurant/laoxi-noodle-house,,Bib Gourmand,25.0,CA,California,West,Chinese
285,LaoXi Noodle House,"600 Live Oak Ave., Arcadia, 91006, United States",91006,Arcadia,25.0,25.0,USD,"Chinese, Regional Cuisine",-118.01802,34.10907,-1012,https://guide.michelin.com/en/california/arcadia/restaurant/laoxi-noodle-house,,Bib Gourmand,25.0,CA,California,West,Chinese
301,Sea Harbour,"3939 Rosemead Blvd., Rosemead, 91770, United States",91770,Rosemead,50.0,50.0,USD,"Chinese, Dim Sum",-118.0733,34.07984,-2601,https://guide.michelin.com/en/california/rosemead/restaurant/sea-harbour,,Bib Gourmand,50.0,CA,California,West,Chinese
302,Longo Seafood,"7540 Garvey Ave., Rosemead, 91770, United States",91770,Rosemead,50.0,50.0,USD,"Chinese, Dim Sum",-118.1047332,34.0625014,-6842,https://guide.michelin.com/en/california/rosemead/restaurant/longo-seafood,,Bib Gourmand,50.0,CA,California,West,Chinese
324,Chengdu Taste,"828 W. Valley Blvd., Alhambra, 91803, United States",91803,Alhambra,50.0,50.0,USD,"Chinese, Sichuan",-118.13248,34.078,-1246,https://guide.michelin.com/en/california/alhambra/restaurant/chengdu-taste,,Bib Gourmand,50.0,CA,California,West,Chinese
325,Sichuan Impression,"1900 W. Valley Blvd., Alhambra, 91803, United States",91803,Alhambra,50.0,50.0,USD,"Chinese, Sichuan",-118.14449,34.077282,-3279,https://guide.michelin.com/en/california/alhambra/restaurant/sichuan-impression,https://www.sichuanimpressions.com/,Bib Gourmand,50.0,CA,California,West,Chinese
326,Jiang Nan Spring,"910 E. Main St., Alhambra, 91801, United States",91801,Alhambra,50.0,50.0,USD,"Chinese, Shanghainese",-118.117454,34.0995473,-828,https://guide.michelin.com/en/california/alhambra/restaurant/jiang-nan-spring,,Bib Gourmand,50.0,CA,California,West,Chinese
327,Lunasia Dim Sum House,"500 W. Main St., Alhambra, 91801, United States",91801,Alhambra,50.0,50.0,USD,"Chinese, Dim Sum",-118.13225,34.09258,-1904,https://guide.michelin.com/en/california/alhambra/restaurant/lunasia-dim-sum-house,https://lunasiadimsum.com/,Bib Gourmand,50.0,CA,California,West,Chinese
342,Great China,"2190 Bancroft Way, Berkeley, 94701, United States",94701,Berkeley,50.0,50.0,USD,Chinese,-122.26616,37.867756,-7329,https://guide.michelin.com/en/california/berkeley/restaurant/great-china,https://www.greatchinaberkeley.com/,Bib Gourmand,50.0,CA,California,West,Chinese
382,Mian,"301 W. Valley Blvd., Ste. 114, San Gabriel, 91776, United States",91776,San Gabriel,25.0,25.0,USD,"Chinese, Sichuan",-118.104243,34.0800007,-5955,https://guide.michelin.com/en/california/san-gabriel/restaurant/mian,,Bib Gourmand,25.0,CA,California,West,Chinese
383,Mian,"301 W. Valley Blvd., Ste. 114, San Gabriel, 91776, United States",91776,San Gabriel,25.0,25.0,USD,"Chinese, Sichuan",-118.104243,34.0800007,-5955,https://guide.michelin.com/en/california/san-gabriel/restaurant/mian,,Bib Gourmand,25.0,CA,California,West,Chinese
384,Luscious Dumplings,"919 W. Duarte Rd., Monrovia, 91016, United States",91016,Monrovia,25.0,25.0,USD,Chinese,-118.0185111,34.1319451,287,https://guide.michelin.com/en/california/us-monrovia/restaurant/luscious-dumplings,http://lusciousdumplings.com,Bib Gourmand,25.0,CA,California,West,Chinese
385,Luscious Dumplings,"919 W. Duarte Rd., Monrovia, 91016, United States",91016,Monrovia,25.0,25.0,USD,Chinese,-118.0185111,34.1319451,287,https://guide.michelin.com/en/california/us-monrovia/restaurant/luscious-dumplings,http://lusciousdumplings.com,Bib Gourmand,25.0,CA,California,West,Chinese
386,Luscious Dumplings,"919 W. Duarte Rd., Monrovia, 91016, United States",91016,Monrovia,25.0,25.0,USD,Chinese,-118.0185111,34.1319451,287,https://guide.michelin.com/en/california/us-monrovia/restaurant/luscious-dumplings,http://lusciousdumplings.com,Bib Gourmand,25.0,CA,California,West,Chinese
425,Sichuan Home,"5037 Geary Blvd., San Francisco, 94118, United States",94118,San Francisco,40.0,40.0,USD,"Chinese, Sichuan",-122.47362,37.78054,-2094,https://guide.michelin.com/en/california/san-francisco/restaurant/sichuan-home,,Bib Gourmand,40.0,CA,California,West,Chinese
426,Z & Y,"655 Jackson St., San Francisco, 94133, United States",94133,San Francisco,50.0,50.0,USD,"Chinese, Sichuan",-122.4060049,37.7960493,-8554,https://guide.michelin.com/en/california/san-francisco/restaurant/z-y,https://www.zandyrestaurant.com/,Bib Gourmand,50.0,CA,California,West,Chinese
