,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
2,Manresa,"320 Village Ln., Los Gatos, 95030, United States",95030,Los Gatos,325.0,325.0,USD,"Contemporary, Californian",-121.98071,37.22761,-3276,https://guide.michelin.com/en/california/los-gatos/restaurant/manresa,https://www.manresarestaurant.com/,3 MICHELIN Stars,325.0,CA,California,West,Contemporary
3,Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, United States",94123,San Francisco,298.0,298.0,USD,"Contemporary, French",-122.43586,37.79835,515,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,https://www.ateliercrenn.com/,3 MICHELIN Stars,298.0,CA,California,West,Contemporary
5,Quince,"470 Pacific Ave., San Francisco, 94133, United States",94133,San Francisco,360.0,360.0,USD,"Contemporary, Californian",-122.4032607,37.7975054,-7860,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,https://www.quincerestaurant.com/,3 MICHELIN Stars,360.0,CA,California,West,Contemporary
6,Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",10010,New York,125.0,285.0,USD,"Contemporary, Innovative",-73.9872414,40.7415543,-582,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,3 MICHELIN Stars,205.0,NY,New York,Northeast,Contemporary
7,Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",10010,New York,125.0,285.0,USD,"Contemporary, Innovative",-73.9872414,40.7415543,-582,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,3 MICHELIN Stars,205.0,NY,New York,Northeast,Contemporary
8,Per Se,"10 Columbus Circle, New York, 10019, United States",10019,New York,355.0,355.0,USD,"Contemporary, French",-73.9825882,40.7680545,-8946,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,http://www.perseny.com/,3 MICHELIN Stars,355.0,NY,New York,Northeast,Contemporary
9,Per Se,"10 Columbus Circle, New York, 10019, United States",10019,New York,355.0,355.0,USD,"Contemporary, French",-73.9825882,40.7680545,-8946,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,http://www.perseny.com/,3 MICHELIN Stars,355.0,NY,New York,Northeast,Contemporary
14,Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, United States",10018,New York,395.0,395.0,USD,Contemporary,-73.9964997,40.7560823,1425,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,http://www.brooklynfare.com/,3 MICHELIN Stars,395.0,NY,New York,Northeast,Contemporary
15,Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, United States",10018,New York,395.0,395.0,USD,Contemporary,-73.9964997,40.7560823,1425,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,http://www.brooklynfare.com/,3 MICHELIN Stars,395.0,NY,New York,Northeast,Contemporary
16,Alinea,"1723 N. Halsted St., Chicago, 60614, United States",60614,Chicago,210.0,365.0,USD,"Contemporary, Creative",-87.648174,41.9132737,335,https://guide.michelin.com/en/illinois/chicago/restaurant/alinea,https://www.alinearestaurant.com/,3 MICHELIN Stars,287.5,IL,Illinois,Midwest,Contemporary
