,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
26,Mélisse,"1104 Wilshire Blvd., Santa Monica, 90401, United States",90401,Santa Monica,295.0,295.0,USD,French,-118.4915408,34.0245313,34,https://guide.michelin.com/en/california/santa-monica/restaurant/melisse,https://www.citrinandmelisse.com/,2 MICHELIN Stars,295.0,CA,California,West,French
55,L'Atelier de Joël Robuchon,"85 Tenth Ave., New York, 10011, United States",10011,New York,145.0,235.0,USD,French,-74.0077138,40.7428946,-8161,https://guide.michelin.com/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,https://latelier-newyork.com/,2 MICHELIN Stars,190.0,NY,New York,Northeast,French
56,L'Atelier de Joël Robuchon,"85 Tenth Ave., New York, 10011, United States",10011,New York,145.0,235.0,USD,French,-74.0077138,40.7428946,-8161,https://guide.michelin.com/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,https://latelier-newyork.com/,2 MICHELIN Stars,190.0,NY,New York,Northeast,French
57,Daniel,"60 E. 65th St., New York, 10065, United States",10065,New York,158.0,250.0,USD,French,-73.9675039,40.7667521,891,https://guide.michelin.com/en/new-york-state/new-york/restaurant/daniel,https://www.danielnyc.com/,2 MICHELIN Stars,204.0,NY,New York,Northeast,French
58,Daniel,"60 E. 65th St., New York, 10065, United States",10065,New York,158.0,250.0,USD,French,-73.9675039,40.7667521,891,https://guide.michelin.com/en/new-york-state/new-york/restaurant/daniel,https://www.danielnyc.com/,2 MICHELIN Stars,204.0,NY,New York,Northeast,French
91,Jeune et Jolie,"2659 State St., Carlsbad, 92008, United States",92008,Carlsbad,74.0,90.0,USD,"French, Contemporary",-117.3516968,33.1631027,-4143,https://guide.michelin.com/en/california/carlsbad/restaurant/jeune-et-jolie,http://www.jeune-jolie.com,1 MICHELIN Star,82.0,CA,California,West,French
105,Pasjoli,"2732 Main St., Santa Monica, 90405, United States",90405,Santa Monica,200.0,200.0,USD,"French, Contemporary",-118.4821085,34.0005122,1074,https://guide.michelin.com/en/california/santa-monica/restaurant/pasjoli,https://www.pasjoli.com/,1 MICHELIN Star,200.0,CA,California,West,French
128,O' by Claude Le Tohic,"165 O'Farrell St., San Francisco, 94102, United States",94102,San Francisco,175.0,250.0,USD,"French, Contemporary",-122.4074317,37.7863767,-8287,https://guide.michelin.com/en/california/san-francisco/restaurant/o-by-claude-le-tohic,http://www.one65sf.com,1 MICHELIN Star,212.5,CA,California,West,French
135,Bar Crenn,"3131 Fillmore St., San Francisco, 94123, United States",94123,San Francisco,85.0,165.0,USD,"French, Classic French",-122.43581,37.798435,515,https://guide.michelin.com/en/california/san-francisco/restaurant/bar-crenn,https://www.barcrenn.com/,1 MICHELIN Star,125.0,CA,California,West,French
169,Le Jardinier,"610 Lexington Ave., New York, 10022, United States",10022,New York,85.0,115.0,USD,"French, Contemporary",-73.9714729,40.7579445,-8450,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-jardinier,https://www.lejardinier-nyc.com/,1 MICHELIN Star,100.0,NY,New York,Northeast,French
