,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
32,Campton Place,"340 Stockton St., San Francisco, 94108, United States",94108,San Francisco,65.0,167.0,USD,"Indian, Contemporary",-122.40665,37.78923,-4919,https://guide.michelin.com/en/california/san-francisco/restaurant/campton-place,https://www.tajcamptonplace.com/,2 MICHELIN Stars,116.0,CA,California,West,Indian
70,Rasa,"209 Park Rd., Burlingame, 94010, United States",94010,Burlingame,88.0,88.0,USD,"Indian, Contemporary",-122.3459541,37.5775393,-5962,https://guide.michelin.com/en/california/burlingame/restaurant/rasa,https://www.rasaindian.com/,1 MICHELIN Star,88.0,CA,California,West,Indian
389,Tūmbi,"115 Santa Monica Blvd., Santa Monica, 90401, United States",90401,Santa Monica,50.0,55.0,USD,"Indian, Contemporary",-118.4976517,34.014547,-6719,https://guide.michelin.com/en/california/santa-monica/restaurant/tumbi,https://www.tumbibar.com/,Bib Gourmand,52.5,CA,California,West,Indian
399,Badmaash,"108 W. 2nd St., Ste. 104, Los Angeles, 90012, United States",90012,Los Angeles,44.0,44.0,USD,"Indian, Gastropub",-118.24476,34.05115,-6474,https://guide.michelin.com/en/california/us-los-angeles/restaurant/badmaash,https://www.badmaashla.com/,Bib Gourmand,44.0,CA,California,West,Indian
659,Cardamom,"43-45 43rd St., New York, 11104, United States",11104,New York,50.0,50.0,USD,Indian,-73.9212189,40.7442458,-8706,https://guide.michelin.com/en/new-york-state/new-york/restaurant/cardamom,http://www.cardamom.nyc,Bib Gourmand,50.0,NY,New York,Northeast,Indian
660,Cardamom,"43-45 43rd St., New York, 11104, United States",11104,New York,50.0,50.0,USD,Indian,-73.9212189,40.7442458,-8706,https://guide.michelin.com/en/new-york-state/new-york/restaurant/cardamom,http://www.cardamom.nyc,Bib Gourmand,50.0,NY,New York,Northeast,Indian
684,Angel,"7414 37th Rd., New York, 11372, United States",11372,New York,30.0,30.0,USD,Indian,-73.8909218,40.7472628,402,https://guide.michelin.com/en/new-york-state/new-york/restaurant/angel,,Bib Gourmand,30.0,NY,New York,Northeast,Indian
685,Angel,"7414 37th Rd., New York, 11372, United States",11372,New York,30.0,30.0,USD,Indian,-73.8909218,40.7472628,402,https://guide.michelin.com/en/new-york-state/new-york/restaurant/angel,,Bib Gourmand,30.0,NY,New York,Northeast,Indian
703,Mango Pickle,"5842 N. Broadway, Chicago, 60660, United States",60660,Chicago,40.0,55.0,USD,"Indian, Contemporary",-87.6604097,41.9878477,-4726,https://guide.michelin.com/en/illinois/chicago/restaurant/mango-pickle,https://www.mangopicklechicago.com/,Bib Gourmand,47.5,IL,Illinois,Midwest,Indian
726,Vajra,"1329 W. Chicago Ave., Chicago, 60642, United States",60642,Chicago,50.0,50.0,USD,"Indian, Nepali",-87.6604832,41.8961304,-4607,https://guide.michelin.com/en/illinois/chicago/restaurant/vajra,https://www.vajrachicago.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Indian
786,Karma Modern Indian,"611 I St. NW, Washington, 20001, United States",20001,Washington,50.0,75.0,USD,"Indian, Contemporary",-77.0206,38.900967,-89,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/karma-modern-indian,https://www.karmamodernindian.com/,Bib Gourmand,62.5,DC,District of Columbia,South,Indian
