,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
33,Acquerello,"1722 Sacramento St., San Francisco, 94109, United States",94109,San Francisco,150.0,250.0,USD,"Italian, Contemporary",-122.42131,37.79167,-4584,https://guide.michelin.com/en/california/san-francisco/restaurant/acquerello,https://www.acquerellosf.com/,2 MICHELIN Stars,200.0,CA,California,West,Italian
103,Gucci Osteria da Massimo Bottura,"347 N. Rodeo Dr., Beverly Hills, 90210, United States",90210,Beverly Hills,130.0,195.0,USD,"Italian, Contemporary",-118.4024313,34.0683993,-6666,https://guide.michelin.com/en/california/beverly-hills/restaurant/gucci-osteria-da-massimo-bottura-1190961,https://www.gucci.com/us/en/store/osteria-bottura-beverly-hills/,1 MICHELIN Star,162.5,CA,California,West,Italian
104,Gucci Osteria da Massimo Bottura,"347 N. Rodeo Dr., Beverly Hills, 90210, United States",90210,Beverly Hills,130.0,195.0,USD,"Italian, Contemporary",-118.4024313,34.0683993,-6666,https://guide.michelin.com/en/california/beverly-hills/restaurant/gucci-osteria-da-massimo-bottura-1190961,https://www.gucci.com/us/en/store/osteria-bottura-beverly-hills/,1 MICHELIN Star,162.5,CA,California,West,Italian
112,Osteria Mozza,"6602 Melrose Ave., Los Angeles, 90038, United States",90038,Los Angeles,115.0,115.0,USD,Italian,-118.3386857,34.0834246,926,https://guide.michelin.com/en/california/us-los-angeles/restaurant/osteria-mozza,https://la.osteriamozza.com/,1 MICHELIN Star,115.0,CA,California,West,Italian
125,Sorrel,"3228 Sacramento St., San Francisco, 94115, United States",94115,San Francisco,110.0,148.0,USD,"Italian, Californian",-122.44614,37.788334,-2875,https://guide.michelin.com/en/california/san-francisco/restaurant/sorrel,https://www.sorrelrestaurant.com/,1 MICHELIN Star,129.0,CA,California,West,Italian
133,SPQR,"1911 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,39.0,120.0,USD,"Italian, Contemporary",-122.4336712,37.7873703,-7135,https://guide.michelin.com/en/california/san-francisco/restaurant/spqr,https://www.spqrsf.com/,1 MICHELIN Star,79.5,CA,California,West,Italian
209,Ai Fiori,"400 Fifth Ave., New York, 10018, United States",10018,New York,54.0,150.0,USD,Italian,-73.98357,40.75013,-8061,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ai-fiori,https://www.aifiorinyc.com/,1 MICHELIN Star,102.0,NY,New York,Northeast,Italian
210,Ai Fiori,"400 Fifth Ave., New York, 10018, United States",10018,New York,54.0,150.0,USD,Italian,-73.98357,40.75013,-8061,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ai-fiori,https://www.aifiorinyc.com/,1 MICHELIN Star,102.0,NY,New York,Northeast,Italian
211,Rezdôra,"27 E. 20th St., New York, 10003, United States",10003,New York,60.0,90.0,USD,"Italian, Emilian",-73.9890088,40.7390046,-8136,https://guide.michelin.com/en/new-york-state/new-york/restaurant/rezdora-osteria-emiliana,https://www.rezdora.nyc/,1 MICHELIN Star,75.0,NY,New York,Northeast,Italian
212,Rezdôra,"27 E. 20th St., New York, 10003, United States",10003,New York,60.0,90.0,USD,"Italian, Emilian",-73.9890088,40.7390046,-8136,https://guide.michelin.com/en/new-york-state/new-york/restaurant/rezdora-osteria-emiliana,https://www.rezdora.nyc/,1 MICHELIN Star,75.0,NY,New York,Northeast,Italian
233,Don Angie,"103 Greenwich Ave., New York, 10014, United States",10014,New York,75.0,75.0,USD,"Italian, American",-74.0019745,40.7377741,-8561,https://guide.michelin.com/en/new-york-state/new-york/restaurant/don-angie,https://www.donangie.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Italian
234,Don Angie,"103 Greenwich Ave., New York, 10014, United States",10014,New York,75.0,75.0,USD,"Italian, American",-74.0019745,40.7377741,-8561,https://guide.michelin.com/en/new-york-state/new-york/restaurant/don-angie,https://www.donangie.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Italian
239,Carbone,"181 Thompson St., New York, 10003, United States",10003,New York,150.0,150.0,USD,"Italian, Italian-American",-74.00017,40.727966,-2042,https://guide.michelin.com/en/new-york-state/new-york/restaurant/carbone,https://www.carbonenewyork.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Italian
240,Carbone,"181 Thompson St., New York, 10003, United States",10003,New York,150.0,150.0,USD,"Italian, Italian-American",-74.00017,40.727966,-2042,https://guide.michelin.com/en/new-york-state/new-york/restaurant/carbone,https://www.carbonenewyork.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Italian
261,Fiola,"601 Pennsylvania Ave. NW, Washington, 20004, United States",20004,Washington,150.0,225.0,USD,"Italian, Contemporary",-77.01991,38.89283,-2314,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/fiola,https://www.fioladc.com/,1 MICHELIN Star,187.5,DC,District of Columbia,South,Italian
265,Masseria,"1340 4th St. NE, Washington, 20002, United States",20002,Washington,168.0,350.0,USD,"Italian, Regional Cuisine",-76.99908,38.909504,-736,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/masseria,https://www.masseria-dc.com/,1 MICHELIN Star,259.0,DC,District of Columbia,South,Italian
290,Mentone,"174 Aptos Village Way, Aptos, 95003, United States",95003,Aptos,30.0,44.0,USD,"Italian, Californian",-121.8995341,36.9789673,-2917,https://guide.michelin.com/en/california/aptos/restaurant/mentone,https://www.mentonerestaurant.com/,Bib Gourmand,37.0,CA,California,West,Italian
291,Mentone,"174 Aptos Village Way, Aptos, 95003, United States",95003,Aptos,30.0,44.0,USD,"Italian, Californian",-121.8995341,36.9789673,-2917,https://guide.michelin.com/en/california/aptos/restaurant/mentone,https://www.mentonerestaurant.com/,Bib Gourmand,37.0,CA,California,West,Italian
292,Mentone,"174 Aptos Village Way, Aptos, 95003, United States",95003,Aptos,30.0,44.0,USD,"Italian, Californian",-121.8995341,36.9789673,-2917,https://guide.michelin.com/en/california/aptos/restaurant/mentone,https://www.mentonerestaurant.com/,Bib Gourmand,37.0,CA,California,West,Italian
293,Mentone,"174 Aptos Village Way, Aptos, 95003, United States",95003,Aptos,30.0,44.0,USD,"Italian, Californian",-121.8995341,36.9789673,-2917,https://guide.michelin.com/en/california/aptos/restaurant/mentone,https://www.mentonerestaurant.com/,Bib Gourmand,37.0,CA,California,West,Italian
349,Oliver's Osteria Mare e Monti,"853 Laguna Canyon Rd., Laguna Beach, 92651, United States",92651,Laguna Beach,40.0,42.0,USD,"Italian, Emilian",-117.7781668,33.550877,973,https://guide.michelin.com/en/california/laguna-beach/restaurant/oliver-s-osteria-mare-e-monti,https://www.oliversosteria.com/,Bib Gourmand,41.0,CA,California,West,Italian
