,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
10,Masa,"10 Columbus Circle, New York, 10019, United States",10019,New York,595.0,595.0,USD,"Japanese, Sushi",-73.98234,40.76819,-9411,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,3 MICHELIN Stars,595.0,NY,New York,Northeast,Japanese
11,Masa,"10 Columbus Circle, New York, 10019, United States",10019,New York,595.0,595.0,USD,"Japanese, Sushi",-73.98234,40.76819,-9411,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,3 MICHELIN Stars,595.0,NY,New York,Northeast,Japanese
21,Sushi Ginza Onodera,"609 N. La Cienega Blvd., West Hollywood, 90069, United States",90069,West Hollywood,300.0,300.0,USD,"Japanese, Sushi",-118.3766888,34.082251,-3927,https://guide.michelin.com/en/california/west-hollywood/restaurant/sushi-ginza-onodera-559850,https://www.onodera-group.com/,2 MICHELIN Stars,300.0,CA,California,West,Japanese
22,Sushi Ginza Onodera,"609 N. La Cienega Blvd., West Hollywood, 90069, United States",90069,West Hollywood,300.0,300.0,USD,"Japanese, Sushi",-118.3766888,34.082251,-3927,https://guide.michelin.com/en/california/west-hollywood/restaurant/sushi-ginza-onodera-559850,https://www.onodera-group.com/,2 MICHELIN Stars,300.0,CA,California,West,Japanese
27,Hayato,"1320 E. 7th St., Ste. 126, Los Angeles, 90021, United States",90021,Los Angeles,295.0,295.0,USD,"Japanese, Seafood",-118.2418788,34.0338072,211,https://guide.michelin.com/en/california/us-los-angeles/restaurant/hayato,https://www.hayatorestaurant.com/,2 MICHELIN Stars,295.0,CA,California,West,Japanese
28,n/naka,"3455 S. Overland Ave., Los Angeles, 90034, United States",90034,Los Angeles,245.0,285.0,USD,"Japanese, Contemporary",-118.41206,34.02526,-5778,https://guide.michelin.com/en/california/us-los-angeles/restaurant/n-naka,http://www.n-naka.com,2 MICHELIN Stars,265.0,CA,California,West,Japanese
77,Kenzo,"1339 Pearl St., Napa, 94559, United States",94559,Napa,210.0,210.0,USD,Japanese,-122.28928,38.29924,-636,https://guide.michelin.com/en/california/napa/restaurant/kenzo,https://www.kenzonapa.com/,1 MICHELIN Star,210.0,CA,California,West,Japanese
80,Sushi Shin,"312 Arguello St., Redwood City, 94063, United States",94063,Redwood City,200.0,200.0,USD,"Japanese, Sushi",-122.2323102,37.4871305,-6465,https://guide.michelin.com/en/california/redwood-city/restaurant/sushi-shin-1195403,https://www.sushishinredwoodcity.com/,1 MICHELIN Star,200.0,CA,California,West,Japanese
81,Sushi Shin,"312 Arguello St., Redwood City, 94063, United States",94063,Redwood City,200.0,200.0,USD,"Japanese, Sushi",-122.2323102,37.4871305,-6465,https://guide.michelin.com/en/california/redwood-city/restaurant/sushi-shin-1195403,https://www.sushishinredwoodcity.com/,1 MICHELIN Star,200.0,CA,California,West,Japanese
89,Sushi I-NABA,"1300 Highland Ave., Manhattan Beach, 90266, United States",90266,Manhattan Beach,50.0,220.0,USD,"Japanese, Sushi",-118.4103953,33.8865097,-2580,https://guide.michelin.com/en/california/manhattan-beach/restaurant/sushi-i-naba,,1 MICHELIN Star,135.0,CA,California,West,Japanese
92,Sushi Yoshizumi,"325 E. 4th Ave., San Mateo, 94401, United States",94401,San Mateo,285.0,285.0,USD,"Japanese, Sushi",-122.3211,37.565075,-1069,https://guide.michelin.com/en/california/san-mateo/restaurant/sushi-yoshizumi,https://www.sushiyoshizumi.com/,1 MICHELIN Star,285.0,CA,California,West,Japanese
93,Wakuriya,"115 De Anza Blvd., San Mateo, 94402, United States",94402,San Mateo,148.0,148.0,USD,"Japanese, Contemporary",-122.3366,37.52114,954,https://guide.michelin.com/en/california/san-mateo/restaurant/wakuriya,https://www.wakuriya.com/,1 MICHELIN Star,148.0,CA,California,West,Japanese
94,Soichi,"2121 Adams Ave., San Diego, 92116, United States",92116,San Diego,65.0,135.0,USD,"Japanese, Sushi",-117.1418816,32.7627776,-1278,https://guide.michelin.com/en/california/us-san-diego/restaurant/soichi,https://www.soichisushi.com/,1 MICHELIN Star,100.0,CA,California,West,Japanese
95,Sushi Tadokoro,"2244 San Diego Ave., San Diego, 92110, United States",92110,San Diego,37.0,120.0,USD,"Japanese, Sushi",-117.1913167,32.7483809,1024,https://guide.michelin.com/en/california/us-san-diego/restaurant/sushi-tadokoro,https://www.sushitadokoro.com/,1 MICHELIN Star,78.5,CA,California,West,Japanese
96,Sushi | Bar Montecito,"1295 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,145.0,145.0,USD,"Japanese, Sushi",-119.6400634,34.4214368,-8350,https://guide.michelin.com/en/california/santa-barbara/restaurant/sushi-bar-montecito,https://www.sushibarmontecito.com/,1 MICHELIN Star,145.0,CA,California,West,Japanese
97,Sushi | Bar Montecito,"1295 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,145.0,145.0,USD,"Japanese, Sushi",-119.6400634,34.4214368,-8350,https://guide.michelin.com/en/california/santa-barbara/restaurant/sushi-bar-montecito,https://www.sushibarmontecito.com/,1 MICHELIN Star,145.0,CA,California,West,Japanese
98,Sushi | Bar Montecito,"1295 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,145.0,145.0,USD,"Japanese, Sushi",-119.6400634,34.4214368,-8350,https://guide.michelin.com/en/california/santa-barbara/restaurant/sushi-bar-montecito,https://www.sushibarmontecito.com/,1 MICHELIN Star,145.0,CA,California,West,Japanese
