,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
41,Atomix,"104 E. 30th St., New York, 10016, United States",10016,New York,36.0,325.0,USD,"Korean, Contemporary",-73.9826751,40.7443058,https://www.atomixnyc.com/,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atomix,https://www.atomixnyc.com/,2 MICHELIN Stars,180.5,NY,New York,Northeast,Korean
42,Atomix,"104 E. 30th St., New York, 10016, United States",10016,New York,36.0,325.0,USD,"Korean, Contemporary",-73.9826751,40.7443058,https://www.atomixnyc.com/,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atomix,https://www.atomixnyc.com/,2 MICHELIN Stars,180.5,NY,New York,Northeast,Korean
49,Jungsik,"2 Harrison St., New York, 10013, United States",10013,New York,165.0,235.0,USD,"Korean, Contemporary",-74.00911,40.718685,93,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,https://www.jungsik.com/,2 MICHELIN Stars,200.0,NY,New York,Northeast,Korean
50,Jungsik,"2 Harrison St., New York, 10013, United States",10013,New York,165.0,235.0,USD,"Korean, Contemporary",-74.00911,40.718685,93,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,https://www.jungsik.com/,2 MICHELIN Stars,200.0,NY,New York,Northeast,Korean
175,Kochi,"652 Tenth Ave., New York, 10036, United States",10036,New York,75.0,75.0,USD,"Korean, Contemporary",-73.993568,40.7620076,-6140,https://guide.michelin.com/en/new-york-state/new-york/restaurant/kochi,https://kochinyc.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Korean
176,Kochi,"652 Tenth Ave., New York, 10036, United States",10036,New York,75.0,75.0,USD,"Korean, Contemporary",-73.993568,40.7620076,-6140,https://guide.michelin.com/en/new-york-state/new-york/restaurant/kochi,https://kochinyc.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Korean
193,Jua,"36 E. 22nd St., New York, 10010, United States",10010,New York,130.0,130.0,USD,"Korean, Korean Contemporary",-73.9874479,40.740014,-542,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jua,https://www.juanyc.com/,1 MICHELIN Star,130.0,NY,New York,Northeast,Korean
194,Jua,"36 E. 22nd St., New York, 10010, United States",10010,New York,130.0,130.0,USD,"Korean, Korean Contemporary",-73.9874479,40.740014,-542,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jua,https://www.juanyc.com/,1 MICHELIN Star,130.0,NY,New York,Northeast,Korean
207,Cote,"16 W. 22nd St., New York, 10010, United States",10010,New York,84.0,180.0,USD,"Korean, Steakhouse",-73.9914627,40.7414233,-7175,https://guide.michelin.com/en/new-york-state/new-york/restaurant/cote,https://www.cotenyc.com/,1 MICHELIN Star,132.0,NY,New York,Northeast,Korean
208,Cote,"16 W. 22nd St., New York, 10010, United States",10010,New York,84.0,180.0,USD,"Korean, Steakhouse",-73.9914627,40.7414233,-7175,https://guide.michelin.com/en/new-york-state/new-york/restaurant/cote,https://www.cotenyc.com/,1 MICHELIN Star,132.0,NY,New York,Northeast,Korean
231,Jeju Noodle Bar,"679 Greenwich St., New York, 10014, United States",10014,New York,50.0,50.0,USD,Korean,-74.00744,40.732952,33,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jeju-noodle-bar,https://www.jejunoodlebar.com/,1 MICHELIN Star,50.0,NY,New York,Northeast,Korean
232,Jeju Noodle Bar,"679 Greenwich St., New York, 10014, United States",10014,New York,50.0,50.0,USD,Korean,-74.00744,40.732952,33,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jeju-noodle-bar,https://www.jejunoodlebar.com/,1 MICHELIN Star,50.0,NY,New York,Northeast,Korean
244,Parachute,"3500 N. Elston Ave., Chicago, 60618, United States",60618,Chicago,75.0,75.0,USD,"Korean, Contemporary",-87.70638,41.94483,-341,https://guide.michelin.com/en/illinois/chicago/restaurant/parachute,https://www.parachuterestaurant.com/,1 MICHELIN Star,75.0,IL,Illinois,Midwest,Korean
