,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
195,Meadowsweet,"149 Broadway, New York, 11212, United States",11212,New York,60.0,75.0,USD,"Mediterranean Cuisine, American Contemporary",-73.96317,40.710354,661,https://guide.michelin.com/en/new-york-state/new-york/restaurant/meadowsweet,https://www.meadowsweetnyc.com/,1 MICHELIN Star,67.5,NY,New York,Northeast,Mediterranean Cuisine
196,Meadowsweet,"149 Broadway, New York, 11212, United States",11212,New York,60.0,75.0,USD,"Mediterranean Cuisine, American Contemporary",-73.96317,40.710354,661,https://guide.michelin.com/en/new-york-state/new-york/restaurant/meadowsweet,https://www.meadowsweetnyc.com/,1 MICHELIN Star,67.5,NY,New York,Northeast,Mediterranean Cuisine
264,Komi,"1509 17th St. NW, Washington, 20036, United States",20036,Washington,165.0,165.0,USD,Mediterranean Cuisine,-77.03836,38.910107,-8330,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/komi,https://www.komirestaurant.com/,1 MICHELIN Star,165.0,DC,District of Columbia,South,Mediterranean Cuisine
343,Insalata's,"120 Sir Francis Drake Blvd., San Anselmo, 94960, United States",94960,San Anselmo,50.0,50.0,USD,Mediterranean Cuisine,-122.56138,37.97308,-6742,https://guide.michelin.com/en/california/san-anselmo/restaurant/insalata-s,https://www.insalatas.com/,Bib Gourmand,50.0,CA,California,West,Mediterranean Cuisine
354,Callie,"1195 Island Ave., San Diego, 92101, United States",92101,San Diego,65.0,77.0,USD,"Mediterranean Cuisine, Middle Eastern",-117.1538654,32.7103575,-8332,https://guide.michelin.com/en/california/us-san-diego/restaurant/callie,https://www.calliesd.com/,Bib Gourmand,71.0,CA,California,West,Mediterranean Cuisine
390,Yafa,"Junipero St., Carmel-by-the-Sea, 93923, United States",93923,Carmel-by-the-Sea,55.0,55.0,USD,"Mediterranean Cuisine, Middle Eastern",-121.92013,36.55702,-8025,https://guide.michelin.com/en/california/carmel-by-the-sea/restaurant/yafa,https://www.yafarestaurant.com/,Bib Gourmand,55.0,CA,California,West,Mediterranean Cuisine
696,The Purple Pig,"444 N. Michigan Ave., Chicago, 60611, United States",60611,Chicago,50.0,50.0,USD,Mediterranean Cuisine,-87.6243468,41.8911348,-896,https://guide.michelin.com/en/illinois/chicago/restaurant/the-purple-pig,https://www.thepurplepigchicago.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Mediterranean Cuisine
747,Cira,"200 N. Green St., Chicago, 60607, United States",60607,Chicago,50.0,50.0,USD,"Mediterranean Cuisine, American Contemporary",-87.6487548,41.8858942,-1226,https://guide.michelin.com/en/illinois/chicago/restaurant/cira,https://www.cirachicago.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Mediterranean Cuisine
750,avec,"615 W. Randolph St., Chicago, 60661, United States",60661,Chicago,50.0,50.0,USD,"Mediterranean Cuisine, American Contemporary",-87.64343,41.88426,-1067,https://guide.michelin.com/en/illinois/chicago/restaurant/avec,https://www.avecrestaurant.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Mediterranean Cuisine
773,Sababa,"3311 Connecticut Ave. NW, Washington, 20008, United States",20008,Washington,50.0,50.0,USD,Mediterranean Cuisine,-77.05726,38.933838,-5792,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/sababa,https://www.sababauptown.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Mediterranean Cuisine
777,Zaytinya,"701 9th St. NW, Washington, 20001, United States",20001,Washington,50.0,50.0,USD,Mediterranean Cuisine,-77.0238266,38.8985405,-236,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/zaytinya,https://www.zaytinya.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Mediterranean Cuisine
