,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
35,Californios,"355 11th St., San Francisco, 94103, United States",94103,San Francisco,223.0,223.0,USD,"Mexican, Contemporary",-122.4131414,37.7712406,-336,https://guide.michelin.com/en/california/san-francisco/restaurant/californios,https://www.californiossf.com/,2 MICHELIN Stars,223.0,CA,California,West,Mexican
141,Taco María,"3313 Hyland Blvd., Ste. C21, Costa Mesa, 92626, United States",92626,Costa Mesa,89.0,89.0,USD,"Mexican, Contemporary",-117.9257477,33.6949591,-7268,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/taco-maria,https://www.tacomaria.com/,1 MICHELIN Star,89.0,CA,California,West,Mexican
155,Claro,"284 Third Ave., New York, 11215, United States",11215,New York,50.0,50.0,USD,Mexican,-73.98615,40.677395,-2500,https://guide.michelin.com/en/new-york-state/new-york/restaurant/claro,https://www.clarobk.com/,1 MICHELIN Star,50.0,NY,New York,Northeast,Mexican
156,Claro,"284 Third Ave., New York, 11215, United States",11215,New York,50.0,50.0,USD,Mexican,-73.98615,40.677395,-2500,https://guide.michelin.com/en/new-york-state/new-york/restaurant/claro,https://www.clarobk.com/,1 MICHELIN Star,50.0,NY,New York,Northeast,Mexican
191,Oxomoco,"128 Greenpoint Ave., New York, 11222, United States",11222,New York,50.0,75.0,USD,"Mexican, Contemporary",-73.9555039,40.7300224,-3222,https://guide.michelin.com/en/new-york-state/new-york/restaurant/oxomoco,https://www.oxomoconyc.com/,1 MICHELIN Star,62.5,NY,New York,Northeast,Mexican
192,Oxomoco,"128 Greenpoint Ave., New York, 11222, United States",11222,New York,50.0,75.0,USD,"Mexican, Contemporary",-73.9555039,40.7300224,-3222,https://guide.michelin.com/en/new-york-state/new-york/restaurant/oxomoco,https://www.oxomoconyc.com/,1 MICHELIN Star,62.5,NY,New York,Northeast,Mexican
227,Casa Enrique,"5-48 49th Ave., New York, 11101, United States",11101,New York,60.0,60.0,USD,"Mexican, Regional Cuisine",-73.9542808,40.7434588,-5141,https://guide.michelin.com/en/new-york-state/new-york/restaurant/casa-enrique,https://www.henrinyc.com/,1 MICHELIN Star,60.0,NY,New York,Northeast,Mexican
228,Casa Enrique,"5-48 49th Ave., New York, 11101, United States",11101,New York,60.0,60.0,USD,"Mexican, Regional Cuisine",-73.9542808,40.7434588,-5141,https://guide.michelin.com/en/new-york-state/new-york/restaurant/casa-enrique,https://www.henrinyc.com/,1 MICHELIN Star,60.0,NY,New York,Northeast,Mexican
249,Topolobampo,"445 N. Clark St., Chicago, 60654, United States",60654,Chicago,100.0,140.0,USD,"Mexican, Regional Cuisine",-87.6309689,41.8907039,-783,https://guide.michelin.com/en/illinois/chicago/restaurant/topolobampo,https://www.rickbayless.com/,1 MICHELIN Star,120.0,IL,Illinois,Midwest,Mexican
279,Coni'Seafood,"3544 W. Imperial Hwy., Inglewood, 90303, United States",90303,Inglewood,18.0,58.0,USD,Mexican,-118.33494,33.930923,-1701,https://guide.michelin.com/en/california/inglewood/restaurant/coni-seafood,https://www.coniseafood.com/,Bib Gourmand,38.0,CA,California,West,Mexican
