,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
408,Kismet,"4648 Hollywood Blvd., Los Angeles, 90027, United States",90027,Los Angeles,50.0,60.0,USD,Middle Eastern,-118.2907005,34.1002978,510,https://guide.michelin.com/en/california/us-los-angeles/restaurant/kismet,https://www.kismetlosangeles.com/,Bib Gourmand,55.0,CA,California,West,Middle Eastern
424,Adana Restaurant,"6918 San Fernando Rd., Glendale, 91201, United States",91201,Glendale,50.0,50.0,USD,Middle Eastern,-118.29869,34.173664,-5262,https://guide.michelin.com/en/california/glendale/restaurant/adana-restaurant,https://www.adanamenu.com/,Bib Gourmand,50.0,CA,California,West,Middle Eastern
485,Tanoreen,"7523 Third Ave., New York, 11209, United States",11209,New York,50.0,50.0,USD,Middle Eastern,-74.02772,40.6309,-4630,https://guide.michelin.com/en/new-york-state/new-york/restaurant/tanoreen,https://www.tanoreen.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
486,Tanoreen,"7523 Third Ave., New York, 11209, United States",11209,New York,50.0,50.0,USD,Middle Eastern,-74.02772,40.6309,-4630,https://guide.michelin.com/en/new-york-state/new-york/restaurant/tanoreen,https://www.tanoreen.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
553,Miss Ada,"184 DeKalb Ave., New York, 11205, United States",11205,New York,25.0,50.0,USD,Middle Eastern,-73.9723305,40.6896523,-15,https://guide.michelin.com/en/new-york-state/new-york/restaurant/miss-ada,https://www.missadanyc.com/,Bib Gourmand,37.5,NY,New York,Northeast,Middle Eastern
554,Miss Ada,"184 DeKalb Ave., New York, 11205, United States",11205,New York,25.0,50.0,USD,Middle Eastern,-73.9723305,40.6896523,-15,https://guide.michelin.com/en/new-york-state/new-york/restaurant/miss-ada,https://www.missadanyc.com/,Bib Gourmand,37.5,NY,New York,Northeast,Middle Eastern
584,Kubeh,"464 Sixth Ave., New York, 10011, United States",10011,New York,50.0,50.0,USD,Middle Eastern,-73.998116,40.73553,-5490,https://guide.michelin.com/en/new-york-state/new-york/restaurant/kubeh,https://www.eatkubeh.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
585,Kubeh,"464 Sixth Ave., New York, 10011, United States",10011,New York,50.0,50.0,USD,Middle Eastern,-73.998116,40.73553,-5490,https://guide.michelin.com/en/new-york-state/new-york/restaurant/kubeh,https://www.eatkubeh.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
618,Glasserie,"95 Commercial St., New York, 11222, United States",11222,New York,50.0,50.0,USD,"Middle Eastern, Vegetarian",-73.95604,40.737694,689,https://guide.michelin.com/en/new-york-state/new-york/restaurant/glasserie,https://www.glasserienyc.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
619,Glasserie,"95 Commercial St., New York, 11222, United States",11222,New York,50.0,50.0,USD,"Middle Eastern, Vegetarian",-73.95604,40.737694,689,https://guide.michelin.com/en/new-york-state/new-york/restaurant/glasserie,https://www.glasserienyc.com/,Bib Gourmand,50.0,NY,New York,Northeast,Middle Eastern
