,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
379,Bettina,"1014 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,58.0,58.0,USD,"Pizza, Italian",-119.6521334,34.4226378,-1348,https://guide.michelin.com/en/california/santa-barbara/restaurant/bettina,https://www.bettinapizzeria.com/,Bib Gourmand,58.0,CA,California,West,Pizza
380,Bettina,"1014 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,58.0,58.0,USD,"Pizza, Italian",-119.6521334,34.4226378,-1348,https://guide.michelin.com/en/california/santa-barbara/restaurant/bettina,https://www.bettinapizzeria.com/,Bib Gourmand,58.0,CA,California,West,Pizza
381,Bettina,"1014 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,58.0,58.0,USD,"Pizza, Italian",-119.6521334,34.4226378,-1348,https://guide.michelin.com/en/california/santa-barbara/restaurant/bettina,https://www.bettinapizzeria.com/,Bib Gourmand,58.0,CA,California,West,Pizza
412,Pizzeria Mozza,"641 N. Highland Ave., Los Angeles, 90036, United States",90036,Los Angeles,50.0,50.0,USD,"Pizza, Italian",-118.3387599,34.0830906,925,https://guide.michelin.com/en/california/us-los-angeles/restaurant/pizzeria-mozza,https://www.pizzeriamozza.com/,Bib Gourmand,50.0,CA,California,West,Pizza
428,Del Popolo,"855 Bush St., San Francisco, 94108, United States",94108,San Francisco,50.0,50.0,USD,"Pizza, Californian",-122.41141,37.789772,-7114,https://guide.michelin.com/en/california/san-francisco/restaurant/del-popolo,https://www.delpopolosf.com/,Bib Gourmand,50.0,CA,California,West,Pizza
435,A16,"2355 Chestnut St., San Francisco, 94123, United States",94123,San Francisco,78.0,78.0,USD,"Pizza, Italian",-122.4421573,37.7999626,-1572,https://guide.michelin.com/en/california/san-francisco/restaurant/a16,https://www.a16pizza.com/,Bib Gourmand,78.0,CA,California,West,Pizza
441,Flour + Water Pizzeria,"702 Valencia St., San Francisco, 94110, United States",94110,San Francisco,39.0,39.0,USD,"Pizza, Italian-American",-122.4217524,37.7618167,-6411,https://guide.michelin.com/en/california/san-francisco/restaurant/flour-water-pizzeria,http://www.flourandwaterpizzeria.com,Bib Gourmand,39.0,CA,California,West,Pizza
467,Una Pizza Napoletana,"175 Orchard St., New York, 10002, United States",10002,New York,50.0,50.0,USD,Pizza,-73.988464,40.721645,-2521,https://guide.michelin.com/en/new-york-state/new-york/restaurant/una-pizza-napoletana,https://www.unapizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
468,Una Pizza Napoletana,"175 Orchard St., New York, 10002, United States",10002,New York,50.0,50.0,USD,Pizza,-73.988464,40.721645,-2521,https://guide.michelin.com/en/new-york-state/new-york/restaurant/una-pizza-napoletana,https://www.unapizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
493,Speedy Romeo,"376 Classon Ave., New York, 11238, United States",11238,New York,50.0,50.0,USD,Pizza,-73.959801,40.6874812,1427,https://guide.michelin.com/en/new-york-state/new-york/restaurant/speedy-romeo,https://www.speedyromeo.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
494,Speedy Romeo,"376 Classon Ave., New York, 11238, United States",11238,New York,50.0,50.0,USD,Pizza,-73.959801,40.6874812,1427,https://guide.michelin.com/en/new-york-state/new-york/restaurant/speedy-romeo,https://www.speedyromeo.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
521,Roberta's,"261 Moore St., New York, 11206, United States",11206,New York,50.0,50.0,USD,Pizza,-73.93411,40.70503,183,https://guide.michelin.com/en/new-york-state/new-york/restaurant/roberta-s,https://www.robertaspizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
522,Roberta's,"261 Moore St., New York, 11206, United States",11206,New York,50.0,50.0,USD,Pizza,-73.93411,40.70503,183,https://guide.michelin.com/en/new-york-state/new-york/restaurant/roberta-s,https://www.robertaspizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
570,Luzzo's,"211-13 First Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Pizza,-73.98349,40.7305,-6708,https://guide.michelin.com/en/new-york-state/new-york/restaurant/luzzo-s,http://www.luzzosgroup.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
571,Luzzo's,"211-13 First Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Pizza,-73.98349,40.7305,-6708,https://guide.michelin.com/en/new-york-state/new-york/restaurant/luzzo-s,http://www.luzzosgroup.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
639,Don Antonio by Starita,"309 W. 50th St., New York, 10019, United States",10019,New York,50.0,50.0,USD,Pizza,-73.9866896,40.762607,-116,https://guide.michelin.com/en/new-york-state/new-york/restaurant/don-antonio-by-starita,https://www.donantoniopizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
640,Don Antonio by Starita,"309 W. 50th St., New York, 10019, United States",10019,New York,50.0,50.0,USD,Pizza,-73.9866896,40.762607,-116,https://guide.michelin.com/en/new-york-state/new-york/restaurant/don-antonio-by-starita,https://www.donantoniopizza.com/,Bib Gourmand,50.0,NY,New York,Northeast,Pizza
738,Munno Pizzeria & Bistro,"4656 N. Clark St., Chicago, 60640, United States",60640,Chicago,50.0,50.0,USD,"Pizza, Italian",-87.6670278,41.9665836,-6744,https://guide.michelin.com/en/illinois/chicago/restaurant/munno-pizzeria-bistro,http://www.munnochicago.com,Bib Gourmand,50.0,IL,Illinois,Midwest,Pizza
