,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
12,Le Bernardin,"155 W. 51st St., New York, 10019, United States",10019,New York,93.0,228.0,USD,Seafood,-73.98223,40.76177,-857,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,3 MICHELIN Stars,160.5,NY,New York,Northeast,Seafood
13,Le Bernardin,"155 W. 51st St., New York, 10019, United States",10019,New York,93.0,228.0,USD,Seafood,-73.98223,40.76177,-857,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,3 MICHELIN Stars,160.5,NY,New York,Northeast,Seafood
20,Providence,"5955 Melrose Ave., Hollywood, 90038, United States",90038,Hollywood,225.0,475.0,USD,Seafood,-118.3301829,34.083576,-3307,https://guide.michelin.com/en/california/hollywood/restaurant/providence,https://www.providencela.com/,2 MICHELIN Stars,350.0,CA,California,West,Seafood
187,ZZ’s Clam Bar,"169 Thompson St., New York, 10012, United States",10012,New York,150.0,150.0,USD,Seafood,-74.00046,40.727646,-2042,https://guide.michelin.com/en/new-york-state/new-york/restaurant/zz-s-clam-bar,https://www.zzsclambar.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Seafood
188,ZZ’s Clam Bar,"169 Thompson St., New York, 10012, United States",10012,New York,150.0,150.0,USD,Seafood,-74.00046,40.727646,-2042,https://guide.michelin.com/en/new-york-state/new-york/restaurant/zz-s-clam-bar,https://www.zzsclambar.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Seafood
199,Marea,"240 Central Park South, New York, 10019, United States",10019,New York,63.0,150.0,USD,"Seafood, Italian",-73.9810681,40.767619,-4470,https://guide.michelin.com/en/new-york-state/new-york/restaurant/marea,https://www.marea-nyc.com/,1 MICHELIN Star,106.5,NY,New York,Northeast,Seafood
200,Marea,"240 Central Park South, New York, 10019, United States",10019,New York,63.0,150.0,USD,"Seafood, Italian",-73.9810681,40.767619,-4470,https://guide.michelin.com/en/new-york-state/new-york/restaurant/marea,https://www.marea-nyc.com/,1 MICHELIN Star,106.5,NY,New York,Northeast,Seafood
391,Fishwives,"88 N. Fair Oaks Ave., Pasadena, 91103, United States",91103,Pasadena,50.0,50.0,USD,Seafood,-118.1504096,34.1471318,-4792,https://guide.michelin.com/en/california/pasadena/restaurant/fishwives,https://www.fishwives.com/,Bib Gourmand,50.0,CA,California,West,Seafood
406,Mi Lindo Nayrit Mariscos,"1020 E. Florence Ave., Los Angeles, 90001, United States",90001,Los Angeles,50.0,50.0,USD,"Seafood, Mexican",-118.256516,33.9746604,-4375,https://guide.michelin.com/en/california/us-los-angeles/restaurant/mi-lindo-nayrit-mariscos,https://www.milindonayarit.com/,Bib Gourmand,50.0,CA,California,West,Seafood
407,Mi Lindo Nayrit Mariscos,"1020 E. Florence Ave., Los Angeles, 90001, United States",90001,Los Angeles,50.0,50.0,USD,"Seafood, Mexican",-118.256516,33.9746604,-4375,https://guide.michelin.com/en/california/us-los-angeles/restaurant/mi-lindo-nayrit-mariscos,https://www.milindonayarit.com/,Bib Gourmand,50.0,CA,California,West,Seafood
413,Son of a Gun,"8370 W. 3rd St., Los Angeles, 90048, United States",90048,Los Angeles,50.0,50.0,USD,Seafood,-118.3724711,34.0727791,-8492,https://guide.michelin.com/en/california/us-los-angeles/restaurant/son-of-a-gun,https://www.sonofagunrestaurant.com/,Bib Gourmand,50.0,CA,California,West,Seafood
414,Son of a Gun,"8370 W. 3rd St., Los Angeles, 90048, United States",90048,Los Angeles,50.0,50.0,USD,Seafood,-118.3724711,34.0727791,-8492,https://guide.michelin.com/en/california/us-los-angeles/restaurant/son-of-a-gun,https://www.sonofagunrestaurant.com/,Bib Gourmand,50.0,CA,California,West,Seafood
429,Anchor Oyster Bar,"579 Castro St., San Francisco, 94114, United States",94114,San Francisco,65.0,65.0,USD,"Seafood, Italian-American",-122.43468,37.75986,-3006,https://guide.michelin.com/en/california/san-francisco/restaurant/anchor-oyster-bar,https://www.anchoroysterbar.com/,Bib Gourmand,65.0,CA,California,West,Seafood
