,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
167,Casa Mono,"52 Irving Pl., New York, 10003, United States",10003,New York,75.0,75.0,USD,"Spanish, Contemporary",-73.9873421,40.735895,-1814,https://guide.michelin.com/en/new-york-state/new-york/restaurant/casa-mono,https://www.casamononyc.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Spanish
168,Casa Mono,"52 Irving Pl., New York, 10003, United States",10003,New York,75.0,75.0,USD,"Spanish, Contemporary",-73.9873421,40.735895,-1814,https://guide.michelin.com/en/new-york-state/new-york/restaurant/casa-mono,https://www.casamononyc.com/,1 MICHELIN Star,75.0,NY,New York,Northeast,Spanish
270,Cranes,"724 9th St. NW, Washington, 20001, United States",20001,Washington,60.0,100.0,USD,"Spanish, Contemporary",-77.0244107,38.8991984,-4223,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/cranes,https://www.cranes-dc.com/,1 MICHELIN Star,80.0,DC,District of Columbia,South,Spanish
272,Xiquet,"2404 Wisconsin Ave. NW, Washington, 20007, United States",20007,Washington,60.0,130.0,USD,Spanish,-77.0723834,38.9215871,-4382,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/xiquet,https://www.xiquetdl.com/,1 MICHELIN Star,95.0,DC,District of Columbia,South,Spanish
377,Loquita,"202 State St., Santa Barbara, 93101, United States",93101,Santa Barbara,38.0,38.0,USD,Spanish,-119.6916636,34.4140993,-2455,https://guide.michelin.com/en/california/santa-barbara/restaurant/loquita,http://www.loquitasb.com,Bib Gourmand,38.0,CA,California,West,Spanish
480,Tomiño,"192 Grand St., New York, 10013, United States",10013,New York,50.0,50.0,USD,Spanish,-73.9970594,40.7192874,-4484,https://guide.michelin.com/en/new-york-state/new-york/restaurant/tomino,https://www.tominonyc.com/,Bib Gourmand,50.0,NY,New York,Northeast,Spanish
481,Tomiño,"192 Grand St., New York, 10013, United States",10013,New York,50.0,50.0,USD,Spanish,-73.9970594,40.7192874,-4484,https://guide.michelin.com/en/new-york-state/new-york/restaurant/tomino,https://www.tominonyc.com/,Bib Gourmand,50.0,NY,New York,Northeast,Spanish
727,mfk.,"432 W. Diversey Pkwy., Chicago, 60614, United States",60614,Chicago,50.0,50.0,USD,"Spanish, Basque",-87.6405573,41.9330403,-1624,https://guide.michelin.com/en/illinois/chicago/restaurant/mfk,https://www.mfkrestaurant.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Spanish
731,Mama Delia,"1721 W. Division St., Chicago, 60622, United States",60622,Chicago,50.0,50.0,USD,"Spanish, Spanish Contemporary",-87.67082,41.90331,-411,https://guide.michelin.com/en/illinois/chicago/restaurant/mama-delia,https://www.mamadelia.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Spanish
763,Jaleo,"480 7th St. NW, Washington, 20004, United States",20004,Washington,50.0,50.0,USD,Spanish,-77.02215,38.89605,-7375,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/jaleo,https://www.jaleo.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Spanish
