,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
131,Kin Khao,"55 Cyril Magnin St., San Francisco, 94102, United States",94102,San Francisco,55.0,70.0,USD,"Thai, Californian",-122.40951,37.785267,-6403,https://guide.michelin.com/en/california/san-francisco/restaurant/kin-khao,https://www.kinkhao.com/,1 MICHELIN Star,62.5,CA,California,West,Thai
309,Thai House,"254 Rose St., Danville, 94526, United States",94526,Danville,,,,Thai,-122.00018,37.82337,470,https://guide.michelin.com/en/california/danville/restaurant/thai-house,https://www.thethaihousedanville.com/,Bib Gourmand,,CA,California,West,Thai
310,Khom Loi,"7385 Healdsburg Ave., Sebastopol, 95472, United States",95472,Sebastopol,60.0,60.0,USD,Thai,-122.8300766,38.405194,-5539,https://guide.michelin.com/en/california/sebastopol/restaurant/khom-loi,https://www.khomloisonoma.com,Bib Gourmand,60.0,CA,California,West,Thai
311,Khom Loi,"7385 Healdsburg Ave., Sebastopol, 95472, United States",95472,Sebastopol,60.0,60.0,USD,Thai,-122.8300766,38.405194,-5539,https://guide.michelin.com/en/california/sebastopol/restaurant/khom-loi,https://www.khomloisonoma.com,Bib Gourmand,60.0,CA,California,West,Thai
312,Khom Loi,"7385 Healdsburg Ave., Sebastopol, 95472, United States",95472,Sebastopol,60.0,60.0,USD,Thai,-122.8300766,38.405194,-5539,https://guide.michelin.com/en/california/sebastopol/restaurant/khom-loi,https://www.khomloisonoma.com,Bib Gourmand,60.0,CA,California,West,Thai
420,Jitlada,"5233 1/2 W. Sunset Blvd., Los Angeles, 90027, United States",90027,Los Angeles,50.0,50.0,USD,Thai,-118.3041058,34.0985581,-9153,https://guide.michelin.com/en/california/us-los-angeles/restaurant/jitlada,https://www.jitladala.com/,Bib Gourmand,50.0,CA,California,West,Thai
445,Nari,"1625 Post St., San Francisco, 94115, United States",94115,San Francisco,63.0,95.0,USD,"Thai, Contemporary",-122.4288317,37.7855421,-5727,https://guide.michelin.com/en/california/san-francisco/restaurant/nari,http://www.narisf.com,Bib Gourmand,79.0,CA,California,West,Thai
469,Ugly Baby,"407 Smith St., New York, 11231, United States",11231,New York,45.0,50.0,USD,Thai,-73.99616,40.67796,-2417,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ugly-baby,https://www.uglybabynyc.com/,Bib Gourmand,47.5,NY,New York,Northeast,Thai
470,Ugly Baby,"407 Smith St., New York, 11231, United States",11231,New York,45.0,50.0,USD,Thai,-73.99616,40.67796,-2417,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ugly-baby,https://www.uglybabynyc.com/,Bib Gourmand,47.5,NY,New York,Northeast,Thai
483,Thai Diner,"186 Mott St., New York, 10012, United States",10012,New York,50.0,50.0,USD,"Thai, Fusion",-73.9957134,40.7207604,-3053,https://guide.michelin.com/en/new-york-state/new-york/restaurant/thai-diner,http://www.thaidiner.com,Bib Gourmand,50.0,NY,New York,Northeast,Thai
484,Thai Diner,"186 Mott St., New York, 10012, United States",10012,New York,50.0,50.0,USD,"Thai, Fusion",-73.9957134,40.7207604,-3053,https://guide.michelin.com/en/new-york-state/new-york/restaurant/thai-diner,http://www.thaidiner.com,Bib Gourmand,50.0,NY,New York,Northeast,Thai
496,Somtum Der,"85 Avenue A, New York, 10009, United States",10009,New York,50.0,50.0,USD,Thai,-73.98434,40.725124,-7618,https://guide.michelin.com/en/new-york-state/new-york/restaurant/somtum-der,https://www.somtumder.com/,Bib Gourmand,50.0,NY,New York,Northeast,Thai
497,Somtum Der,"85 Avenue A, New York, 10009, United States",10009,New York,50.0,50.0,USD,Thai,-73.98434,40.725124,-7618,https://guide.michelin.com/en/new-york-state/new-york/restaurant/somtum-der,https://www.somtumder.com/,Bib Gourmand,50.0,NY,New York,Northeast,Thai
505,SaRanRom Thai,"8110 Broadway, New York, 11373, United States",11373,New York,50.0,50.0,USD,Thai,-73.8836391,40.7432134,-5587,https://guide.michelin.com/en/new-york-state/new-york/restaurant/saranrom-thai,,Bib Gourmand,50.0,NY,New York,Northeast,Thai
506,SaRanRom Thai,"8110 Broadway, New York, 11373, United States",11373,New York,50.0,50.0,USD,Thai,-73.8836391,40.7432134,-5587,https://guide.michelin.com/en/new-york-state/new-york/restaurant/saranrom-thai,,Bib Gourmand,50.0,NY,New York,Northeast,Thai
537,Pata Cafe,"56-14 Van Horn St., New York, 11373, United States",11373,New York,25.0,25.0,USD,Thai,-73.8767,40.732548,-6264,https://guide.michelin.com/en/new-york-state/new-york/restaurant/pata-cafe,,Bib Gourmand,25.0,NY,New York,Northeast,Thai
538,Pata Cafe,"56-14 Van Horn St., New York, 11373, United States",11373,New York,25.0,25.0,USD,Thai,-73.8767,40.732548,-6264,https://guide.michelin.com/en/new-york-state/new-york/restaurant/pata-cafe,,Bib Gourmand,25.0,NY,New York,Northeast,Thai
564,Mao Mao,"1000 Broadway, New York, 11221, United States",11221,New York,50.0,50.0,USD,Thai,-73.9334871,40.6958409,-4636,https://guide.michelin.com/en/new-york-state/new-york/restaurant/mao-mao,http://maomaobrooklyn.com/,Bib Gourmand,50.0,NY,New York,Northeast,Thai
565,Mao Mao,"1000 Broadway, New York, 11221, United States",11221,New York,50.0,50.0,USD,Thai,-73.9334871,40.6958409,-4636,https://guide.michelin.com/en/new-york-state/new-york/restaurant/mao-mao,http://maomaobrooklyn.com/,Bib Gourmand,50.0,NY,New York,Northeast,Thai
724,Herb,"5424 N. Broadway, Chicago, 60640, United States",60640,Chicago,40.0,55.0,USD,"Thai, Contemporary",-87.66012,41.980762,-8221,https://guide.michelin.com/en/illinois/chicago/restaurant/herb,https://www.herbrestaurant.com/,Bib Gourmand,47.5,IL,Illinois,Midwest,Thai
743,Ghin Khao,"2128 W. Cermak Rd., Chicago, 60608, United States",60608,Chicago,31.0,31.0,USD,Thai,-87.6792863,41.8522328,-3279,https://guide.michelin.com/en/illinois/chicago/restaurant/ghin-khao,https://www.ghinkhaochicago.com/,Bib Gourmand,31.0,IL,Illinois,Midwest,Thai
