,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
288,Phở 79,"9941 Hazard Ave., Garden Grove, 92844, United States",92844,Garden Grove,30.0,30.0,USD,"Vietnamese, Noodles",-117.9556132,33.7527059,-1307,https://guide.michelin.com/en/california/us-garden-grove/restaurant/pho-79,https://www.pho79.com/,Bib Gourmand,30.0,CA,California,West,Vietnamese
289,Garlic & Chives by Kristin,"9892 Westminster Blvd., Ste.311, Garden Grove, 92844, United States",92844,Garden Grove,25.0,40.0,USD,"Vietnamese, South East Asian",-117.95538,33.759464,-4073,https://guide.michelin.com/en/california/us-garden-grove/restaurant/garlic-chives-by-kristin,https://www.garlicandchives.com/,Bib Gourmand,32.5,CA,California,West,Vietnamese
296,LSXO,"21010 Pacific Coast Hwy., Huntington Beach, 92648, United States",21010,Huntington Beach,44.0,44.0,USD,"Vietnamese, Contemporary",-117.9985791,33.6553551,1257,https://guide.michelin.com/en/california/us-huntington-beach/restaurant/lsxo,https://www.dinebluegold.com/,Bib Gourmand,44.0,MD,Maryland,South,Vietnamese
465,Van Đa,"234 E. 4th St., New York, 10009, United States",10009,New York,50.0,55.0,USD,"Vietnamese, Modern Cuisine",-73.9828147,40.7233393,-3858,https://guide.michelin.com/en/new-york-state/new-york/restaurant/van-%C4%91a,https://www.vanda.nyc/,Bib Gourmand,52.5,NY,New York,Northeast,Vietnamese
466,Van Đa,"234 E. 4th St., New York, 10009, United States",10009,New York,50.0,55.0,USD,"Vietnamese, Modern Cuisine",-73.9828147,40.7233393,-3858,https://guide.michelin.com/en/new-york-state/new-york/restaurant/van-%C4%91a,https://www.vanda.nyc/,Bib Gourmand,52.5,NY,New York,Northeast,Vietnamese
666,Bunker,"99 Scott Ave., New York, 11237, United States",11237,New York,25.0,50.0,USD,Vietnamese,-73.9230454,40.7105197,-2950,https://guide.michelin.com/en/new-york-state/new-york/restaurant/bunker,https://www.bunkernyc.com/,Bib Gourmand,37.5,NY,New York,Northeast,Vietnamese
667,Bunker,"99 Scott Ave., New York, 11237, United States",11237,New York,25.0,50.0,USD,Vietnamese,-73.9230454,40.7105197,-2950,https://guide.michelin.com/en/new-york-state/new-york/restaurant/bunker,https://www.bunkernyc.com/,Bib Gourmand,37.5,NY,New York,Northeast,Vietnamese
669,Bolero,"177 Bedford Ave., New York, 11211, United States",11211,New York,50.0,50.0,USD,"Vietnamese, Contemporary",-73.9574056,40.718041,-5471,https://guide.michelin.com/en/new-york-state/new-york/restaurant/bolero,https://www.bolero.nyc/,Bib Gourmand,50.0,NY,New York,Northeast,Vietnamese
670,Bolero,"177 Bedford Ave., New York, 11211, United States",11211,New York,50.0,50.0,USD,"Vietnamese, Contemporary",-73.9574056,40.718041,-5471,https://guide.michelin.com/en/new-york-state/new-york/restaurant/bolero,https://www.bolero.nyc/,Bib Gourmand,50.0,NY,New York,Northeast,Vietnamese
713,HaiSous,"1800 S. Carpenter Ave., Chicago, 60608, United States",60608,Chicago,50.0,50.0,USD,Vietnamese,-87.6531795,41.8579542,-693,https://guide.michelin.com/en/illinois/chicago/restaurant/haisous,https://www.haisous.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Vietnamese
