Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
Manresa,"320 Village Ln., Los Gatos, 95030, United States",95030,Los Gatos,325.0,325.0,USD,"Contemporary, Californian",-121.98071,37.22761,-3276,https://guide.michelin.com/en/california/los-gatos/restaurant/manresa,https://www.manresarestaurant.com/,3 MICHELIN Stars,325.0,CA,California,West,Contemporary
Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, United States",94123,San Francisco,298.0,298.0,USD,"Contemporary, French",-122.43586,37.79835,515,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,https://www.ateliercrenn.com/,3 MICHELIN Stars,298.0,CA,California,West,Contemporary
Benu,"22 Hawthorne St., San Francisco, 94105, United States",94105,San Francisco,350.0,350.0,USD,"Asian, Contemporary",-122.3990601,37.7853763,-4130,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,https://www.benusf.com/,3 MICHELIN Stars,350.0,CA,California,West,Asian
Quince,"470 Pacific Ave., San Francisco, 94133, United States",94133,San Francisco,360.0,360.0,USD,"Contemporary, Californian",-122.4032607,37.7975054,-7860,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,https://www.quincerestaurant.com/,3 MICHELIN Stars,360.0,CA,California,West,Contemporary
Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",10010,New York,125.0,285.0,USD,"Contemporary, Innovative",-73.9872414,40.7415543,-582,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,3 MICHELIN Stars,205.0,NY,New York,Northeast,Contemporary
Per Se,"10 Columbus Circle, New York, 10019, United States",10019,New York,355.0,355.0,USD,"Contemporary, French",-73.9825882,40.7680545,-8946,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,http://www.perseny.com/,3 MICHELIN Stars,355.0,NY,New York,Northeast,Contemporary
Masa,"10 Columbus Circle, New York, 10019, United States",10019,New York,595.0,595.0,USD,"Japanese, Sushi",-73.98234,40.76819,-9411,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,3 MICHELIN Stars,595.0,NY,New York,Northeast,Japanese
Le Bernardin,"155 W. 51st St., New York, 10019, United States",10019,New York,93.0,228.0,USD,Seafood,-73.98223,40.76177,-857,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,3 MICHELIN Stars,160.5,NY,New York,Northeast,Seafood
Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, United States",10018,New York,395.0,395.0,USD,Contemporary,-73.9964997,40.7560823,1425,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,http://www.brooklynfare.com/,3 MICHELIN Stars,395.0,NY,New York,Northeast,Contemporary
Alinea,"1723 N. Halsted St., Chicago, 60614, United States",60614,Chicago,210.0,365.0,USD,"Contemporary, Creative",-87.648174,41.9132737,335,https://guide.michelin.com/en/illinois/chicago/restaurant/alinea,https://www.alinearestaurant.com/,3 MICHELIN Stars,287.5,IL,Illinois,Midwest,Contemporary
Vespertine,"3599 Hayden Ave., Culver City, 90232, United States",90232,Culver City,295.0,295.0,USD,Contemporary,-118.38166,34.024204,-3020,https://guide.michelin.com/en/california/culver-city/restaurant/vespertine,http://www.vespertine.la,2 MICHELIN Stars,295.0,CA,California,West,Contemporary
Providence,"5955 Melrose Ave., Hollywood, 90038, United States",90038,Hollywood,225.0,475.0,USD,Seafood,-118.3301829,34.083576,-3307,https://guide.michelin.com/en/california/hollywood/restaurant/providence,https://www.providencela.com/,2 MICHELIN Stars,350.0,CA,California,West,Seafood
Sushi Ginza Onodera,"609 N. La Cienega Blvd., West Hollywood, 90069, United States",90069,West Hollywood,300.0,300.0,USD,"Japanese, Sushi",-118.3766888,34.082251,-3927,https://guide.michelin.com/en/california/west-hollywood/restaurant/sushi-ginza-onodera-559850,https://www.onodera-group.com/,2 MICHELIN Stars,300.0,CA,California,West,Japanese
Addison,"5200 Grand Del Mar Way, San Diego, 92130, United States",92130,San Diego,175.0,275.0,USD,"Contemporary, French",-117.1988908,32.9412972,-356,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,https://www.addisondelmar.com/,2 MICHELIN Stars,225.0,CA,California,West,Contemporary
Commis,"3859 Piedmont Ave., Oakland, 94611, United States",94611,Oakland,189.0,189.0,USD,Contemporary,-122.254846,37.8246825,-3045,https://guide.michelin.com/en/california/oakland/restaurant/commis,http://www.commisrestaurant.com,2 MICHELIN Stars,189.0,CA,California,West,Contemporary
Mélisse,"1104 Wilshire Blvd., Santa Monica, 90401, United States",90401,Santa Monica,295.0,295.0,USD,French,-118.4915408,34.0245313,34,https://guide.michelin.com/en/california/santa-monica/restaurant/melisse,https://www.citrinandmelisse.com/,2 MICHELIN Stars,295.0,CA,California,West,French
Hayato,"1320 E. 7th St., Ste. 126, Los Angeles, 90021, United States",90021,Los Angeles,295.0,295.0,USD,"Japanese, Seafood",-118.2418788,34.0338072,211,https://guide.michelin.com/en/california/us-los-angeles/restaurant/hayato,https://www.hayatorestaurant.com/,2 MICHELIN Stars,295.0,CA,California,West,Japanese
n/naka,"3455 S. Overland Ave., Los Angeles, 90034, United States",90034,Los Angeles,245.0,285.0,USD,"Japanese, Contemporary",-118.41206,34.02526,-5778,https://guide.michelin.com/en/california/us-los-angeles/restaurant/n-naka,http://www.n-naka.com,2 MICHELIN Stars,265.0,CA,California,West,Japanese
